2017-04-15 16:02:53 add stretch deb main i386 i2p-keyring 2016.10.01
2017-04-15 16:02:53 add stretch deb main amd64 i2p-keyring 2016.10.01
2017-04-15 16:02:53 add stretch deb main armel i2p-keyring 2016.10.01
2017-04-15 16:02:53 add stretch deb main armhf i2p-keyring 2016.10.01
2017-04-15 16:02:53 add stretch dsc main source i2p-keyring 2016.10.01
2017-04-15 16:03:58 add stretch deb main i386 killyourtv-keyring 2015.03.27.1
2017-04-15 16:03:58 add stretch deb main amd64 killyourtv-keyring 2015.03.27.1
2017-04-15 16:03:58 add stretch deb main armel killyourtv-keyring 2015.03.27.1
2017-04-15 16:03:58 add stretch deb main armhf killyourtv-keyring 2015.03.27.1
2017-04-15 16:03:58 add stretch dsc main source killyourtv-keyring 2015.03.27.1
2017-04-15 16:26:57 add stretch deb main i386 syndie 1.107b-2ubuntu1
2017-04-15 16:26:57 add stretch deb main amd64 syndie 1.107b-2ubuntu1
2017-04-15 16:26:57 add stretch deb main armel syndie 1.107b-2ubuntu1
2017-04-15 16:26:57 add stretch deb main armhf syndie 1.107b-2ubuntu1
2017-04-15 16:26:57 add stretch dsc main source syndie 1.107b-2ubuntu1
2017-05-04 14:48:42 add stretch deb main i386 libjbigi-jni 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main i386 i2p-router 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main i386 i2p-doc 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main i386 i2p 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main amd64 libjbigi-jni 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main amd64 i2p-router 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main amd64 i2p-doc 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch deb main amd64 i2p 0.9.30-3ubuntu1
2017-05-04 14:48:42 add stretch dsc main source i2p 0.9.30-3ubuntu1
2017-05-04 15:12:30 add stretch deb main armel i2p 0.9.30-3ubuntu1
2017-05-04 15:12:30 add stretch deb main armhf i2p 0.9.30-3ubuntu1
2017-05-04 15:12:49 add stretch deb main armel i2p-doc 0.9.30-3ubuntu1
2017-05-04 15:12:49 add stretch deb main armhf i2p-doc 0.9.30-3ubuntu1
2017-05-04 15:13:04 add stretch deb main armel i2p-router 0.9.30-3ubuntu1
2017-05-04 15:13:04 add stretch deb main armhf i2p-router 0.9.30-3ubuntu1
2017-05-04 15:15:35 add stretch deb main armel libjbigi-jni 0.9.19-1~deb7u+1
2017-05-04 15:15:35 add stretch deb main armhf libjbigi-jni 0.9.20-2~deb7u+1
2017-08-09 21:21:08 replace stretch deb main i386 libjbigi-jni 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main i386 i2p-router 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main i386 i2p-doc 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main i386 i2p 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main amd64 libjbigi-jni 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main amd64 i2p-router 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main amd64 i2p-doc 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch deb main amd64 i2p 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:21:08 replace stretch dsc main source i2p 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:30:49 replace stretch deb main armel i2p-router 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:30:49 replace stretch deb main armhf i2p-router 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:31:01 replace stretch deb main armel i2p-doc 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:31:01 replace stretch deb main armhf i2p-doc 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:31:18 replace stretch deb main armel i2p 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-08-09 21:31:18 replace stretch deb main armhf i2p 0.9.31-1ubuntu1 0.9.30-3ubuntu1
2017-09-18 22:02:44 replace stretch deb main i386 i2p-keyring 2017.09.18 2016.10.01
2017-09-18 22:02:44 replace stretch deb main amd64 i2p-keyring 2017.09.18 2016.10.01
2017-09-18 22:02:44 replace stretch deb main armel i2p-keyring 2017.09.18 2016.10.01
2017-09-18 22:02:44 replace stretch deb main armhf i2p-keyring 2017.09.18 2016.10.01
2017-09-18 22:05:38 replace stretch dsc main source i2p-keyring 2017.09.18 2016.10.01
2017-09-20 16:30:06 replace stretch deb main i386 i2p-keyring 2017.09.20 2017.09.18
2017-09-20 16:30:06 replace stretch deb main amd64 i2p-keyring 2017.09.20 2017.09.18
2017-09-20 16:30:06 replace stretch deb main armel i2p-keyring 2017.09.20 2017.09.18
2017-09-20 16:30:06 replace stretch deb main armhf i2p-keyring 2017.09.20 2017.09.18
2017-09-20 16:30:55 replace stretch dsc main source i2p-keyring 2017.09.20 2017.09.18
